username,comments
queenivt_,Nanti giliran dapat tangkap keluarga menangis sampe cape😢
agus_k11,"Teledor, pelaku sdh terliht 3 org harusnya mlm ini sdh dpt tangkap"
bakittt______,"Sy adalah orng yg paling takut ksih tinggal kunci di motor biar cuma masuk ke kios/indomaret atau di parkir di luar pagar rumah meskipun hanya cepat sj. Sa tidak menyalahkan yg punya motor krna sudah terjadi dan semoga ketemu dengan motornya, tapi ini jadi pelajaran buat kita semua, mau ksih panas motor kalau rumah ada pagar baru motor di dalam halaman rumah trs kasih tinggal bgitu masih ok, tapi kalau sudah dipinggir jalan terus tidak ada pagar terus kasih panas motor baru masuk kasih tinggal begini, apa lagi yg sering ke indomaret dan sengaja ksih tinggal kunci di motor, mending sekarang kemana2 cabut kunci dan lebih hati2 lagi. Beberapa kali sa tegur sa pu tmn yg modelan kasih tinggal kunci tp dong pu tanggapan “ah ini cepat2 sj” atau “siapa yg mau pencuri motor di depan2 kita bgini” dan sa harap sa pu tmn2 itu bisa lihat kejadian ini.. 🫠"
viliyu_imel,"@bakittt______ betul sx sy juga bgt smpe kebiasaan ttup rmh kunci dan kunci stir biar cm trun di smping jln belanja d kios ,takut sx tonk beli stengah mati"
kapala_topi,Kenapa tidak cabut kunci?
hasanmuiz,@kapala_topi posisi motor lg menyala kayaknya.
_arsyh_,@kapala_topi baca caption tu
kapala_topi,@_arsyh_ ya kenapa di tinggal motornya kalo di kasi panas
kapala_topi,@hasanmuiz itu lg
mundonikareth24,@kapala_topi bantu jawab ada kasih panas motor karena baru habis ganti aki itu masih di jam 8 malam masih sangat rame
kapala_topi,@mundonikareth24 padahal depan bank biasa ada satpam
daengpalsu._,@kapala_topi ko bocor skli
mundonikareth24,@kapala_topi ada kaka cuman satpam de ada duduk pas depan alfamart ada ngopi dong semua kejar kah
chiko_udjan,@_arsyh_ 😭😭😭
dthefb17,yg dijalan gak ada yg peduli😢
dthefb17,"@dthefb17 padahal sudah kelihatan aksi kejar"", lebih ke gak peduli emang yg dijalan juga"
dmr.satriyo_,@dthefb17 definisi gw gw elu elu keknya begitu bro
rruudy_15,@dthefb17 itulah
juliaa_angelyy,"Nanti kalo Tuhan su panggil baru teman blg, Sio teman ko org baik"
viandworang,Di sorong ini sdh ada penada besar ini...
_indhlee,"kelakukan bgini bruu nnti cht ade"" perempuan blg ko bsa trima s apa adanya to"
birawidya,@_indhlee namanya juga usaha
triputrabambang,@_indhlee 😂😂😂 rusak best coment
sahrum_van_wallay,@_indhlee 😂😂😂😂
birun95,@_indhlee 😂😂😂😂
_indhlee,"@birawidya nnti cht ade perempuan blg s mtr cm pake scopy sj trpp ee, hasil usaha sndiri teman tr bantu🤣"
dhio_rikumahu2104,@_indhlee aduh 😂😂
orangternate06,@_indhlee 🤣🤣🤣
hryantow,@_indhlee 👏👏👏
onlyrutless,@_indhlee Maaf Kk.. Ade Trabisa Trima Yg apa adanya.. Krn Ade tra sanggup Hidup dg Barang pencuri🤣
tghanjp18,Sorong makin hari makin aman dan tentram😂
11_julian__,"@tghanjp18 aman"" 😂🤣"
vggglyasfvck_,Punya jadi ambil
josebonai,@vggglyasfvck_ itu lagi abang
vggglyasfvck_,@josebonai ko ada dimana2 e
whoisapino,"motor yang parkir kondisi mesin mati kunci stir sj dong pencu, apalagi yang begini 😂"
echon_mandosir,@whoisapino Beruntung betul eh😂
faknik30,"Mmang jago betull,,barang putus dpan mata thuuu"
aldo_papilaya,@faknik30 itu duduk menangis akan
1brianajex__,@faknik30 hati tai sx depan mata ni 😂😂
faknik30,@aldo_papilaya baru baojo di pasir bawah😂🤣
deeppii022,Kakak de cara main bagus sekali
syintiapspita,@deeppii022 kk de su pengalaman
allzaidan1,"Orang yg mtornya hilang biasanya orang yg kurang hati2, selalu merasa aman, padahal kejahatan itu ada karna ada kesempatan. 🔥"
erwinfebrianoo,"Asliiii jagooo parahhhhh🔥🔥🔥🔥,,, kuliah di luar negeri kapa"
__brownskin.girl,"Setelah lihat rekaman CCTV sa baru tau laki-laki 2 org yang pake beat hitam  tadi stop di pinggir jalan itu pencuri ini pu tmn, yaa ampunn ini posisinya yang punya motor hanya di depan Indomaret kilo 8 tidak jauh dari motor Yesus"
insosnon06,Miskin jdi bgtu sdh☺️
aththuur20,Tuhan dapat pukul kasih cacat boleh😂
lakilakisanang,@aththuur20 siap kaka
aththuur20,@lakilakisanang 😂😂
smithchrdfn28,Bahh ilmu apaan nihh
mspujangga,"Klo warga yg dpt bgtu"" tu, jngn bnh, nnti masuk penjara.. Kas cct memang"
yudhatahir_,@khayrabazya_@iniabarrr_ su cabut khodam area situ jdi😭
julianinggrit,@yudhatahir_ flashback @iniabarrr_ mtorr eee🙂
riakibo23,Mau blg yg punya motor salah salah salah juga
ferdinando.antoni,@riakibo23 yg bener mana dong 😂
echon_mandosir,@ferdinando.antoni  sa yg benar😂
zul_yanz471,Siooo beri tepuk tangan sajah..buat kota Sorong jadi aman 👏🔥😂
456_stund,Anjay
haeruddin153,Bikin resa
ellssy___,Terniatt sihh
_ramos337,@ellssy___ de nekat sx ee 🤣
haeruddin153,Up terus supaya dapat tangkap segera bikin resah
from_papua_,Tdk ada yg bantu kejar kah
ekho_susianto,"@from_papua_ dpt tangkap satu masyarakat turun lapangan, hoekk kimaiyehh"
totozic88,@ekho_susianto sudah jadi tradisi KK
fajarrmdn_1,Mendarah daging sih kelakuannya
alvian_aprstya,Itu kalo tra didapat itu tipu skali
dampox_,Ini kalo dapat gep menangis pasti 😂😂
amiliem94,"Gemasss ooo, dpt baru cubit biji mata boleh 😡"
echon_mandosir,@amiliem94 😂
ranggayooo_,@pungusjulio ini soro
crlxxy_,@ranggayooo_ ko pu murid kapa 🤣
ranggayooo_,@crlxxy_ ahh anana kompelx blkng khh😂
ambro_siius,PUKUL KAS MATI BOLEH KURUS😭🤣
sosir_mayor,Apakah ini yg dinamakan sorong kota bajingan 😭🤣🤣🤣
haeruddin153,Coba di perbesar gambar pelakunya supaya secepatnya di tangkap
htcenter_salatiga,cc @paituaternate @polrestasorongkota
ingsaputro21,Kelasss banget bro belajar dimana😂
kapala_topi,Di yutub kapa
vik.ramsky,Tra kaget kalo di kilo 8 situ memang rawan mo
sahrum_van_wallay,"Pencuri kadang bukan karna niat.,tapi karna ada kesempatan sda tau di Sorong ini sering kelai kehilangan motor. Tpi yg di video ini kaya sengaja mengundang pencuri🗿"
sahrum_van_wallay,Dan akhirnya menangis di pojokan😭
vian_nyong,"@sahrum_van_wallay bukan mengundang pancuri,,tapi memang dasarnya hidup sudah jdi orang pancuri,,tra mau kerja."
leni.kadir,Ampun e...su tahu kota srg kaya begini baru?😮
ranseaitim,"Yg punya ambil kembali, seharian di pinjam😂😂"
garydjiu,Jagoo ...
montezz_kambuaya,Babihutan
ardy_putra17,Pace de lincah sekali
filis.__,Jago jago🔥🔥🔥
