username,comments
memori_202216,Yang komen semua tunggu GABRIEL ASEM & LUKMAN menang . Kantong suara sdh jelas  Nomor Urut 2 hadir untuk perubahan.
pace_tana_mera,"Pili pemimpin yang merendahkan diri, yg siap melayani bukan di layani. Elkam harga mati PBD🔥✊"
edwin_vyak,"Track record, masuk penjara karena korupsi, keluar penjara ikut pilkada lagi, sampe masyarakat kabupaten nya terpecah belah, tidak tunduk kepada amanat undang-undang untuk ibukota kabupaten di kumurkek, sekarang maju cagub dengan cara begitu... 😂😂😂😂😂😂 cuma orang-orang unik saja yg coblos model begini"
waktu.indonesia.timur,Sa cuma bilang tra bersatu begini yg arus pu mau².
a_r_m_y1122,"Sagrim dgn LJ,yg memanas ujung2nya 03 yg jd gubernur😂😂😂😂"
patrick.tamaela.77,"MUTLAK, BS TERLALU PENGARUH. 🙌🔥🔥❤️❤️❤️😍😍😍"
apicem.rafiza,"""Diam Supaya Selamat"" tiga kalimat yang menjadi tanda tanya😜"
elcapo7750,"LJ TETAP TERBAIK🔥 LJ yg tanam baru ko datang panen enak2 to,LJ su hadirkan 8 kursi untuk Golkar Di provinsi  dgn keringat dia dan kerja keras dia,kalo ko memang kader Golkar yg sejati kenapa ko kasi maju ko pu anak dari PDIP partai lain dan  menambahkan kursi dari partai lain yg tidak dukung ko untuk calon Gubernur kalo jago tu jangan tunggu di tikungan ko BUKAN PETARUNG SEJATI Nama nya,ARTI NYA ADA SEORANG PENJILAT YG TIDAK TAU MALU,(SEMOGA AMBISI MU MELANCARKAN JLN MU,DAN KERAKUSAN MU YANG AKAN MENELAN KARIR MU) LJ TETAP JIWA BESAR DAN TERBAIK."
ilyasmulias,No. 1 & 3  yg akan Bersinar 🤩 Eh maksudnya Bersaing😁
moses_bless10,Om 01 PBD💯🔥❤️
thencyn25,🔥🔥🔥
levinrezatauran,😂nnti yg jdi antara arus dan elisa. 2 org ini salah 1 yg akan jd
bagasanf,aw
djarfi___,😂
ella_bisay,Ini orang sedih sampe hari ini dan besok 😂😂
callme_dhiny,"berhubung sudah domisilin papua, sa mau cek semua calon selama menjabat ada hasil apa? saya toh kalau golput🤭"
solossa24,"Semakin dihambat, semakin merambat. Ini BS🔥🔥😎"
supersonix3,"Yooo...Kam saling baku jaga,supaya selamat 😂😂😂"
_dcbeat,Saya org pertama
eric_sean_17,Mafia kok di lawan🔥🔥🔥
adindalauwina,"Selamat maksudnya bgm nhe pak ??,,tolong beritahu donkz🤔🫣🤣"
iamvincentkocu,"""Semakin dia hambat,kita semakin merambat kemana-mana"". KELAZZZZZ👏🔥"
anang_ratus_anang_puluh_anang,Wuih su ancam keselamatan
andariassss64,No 3 cagub memang harapan masyakat se papua barat daya
geeerrryyyyy,awoakawok ko diam ko aman🤣
nyonkwilliam,😂😂😂
msqiper,Pada akhirnya semua ikut arus
memori_202216,GABRIEL ASEM terbukti 10 tahun di Tambrauw jadi kalo kita butuh PBD yg damai  aman maju  kita dukung GAUL Pilih Nomor urut 2
iche_sentuf,Bersinar
rottieronny,ikut arus ajala.
vinsfrans9,Sdh betul lambert jitmau d coret.krn pbd akan rusak seperti kota Sorong klo dia yg jd gubernur
pheytuhumena,BERSINAR🖐🏽
ell140987,ARUS MENANG SATU PUTARAN
sihu.bleskadit_,😂😂😂😂😂😂😂😂😂😂😂
charlesfengky,Hahahhawee
ronaldseon_,Asik sih😂
michael_lelapary,Ko diam. Ko aman😢😢😢
sahieedd,😂
1nz_tian,Yoohh Amuk 🔥
gilbytimisela,Ngeri
eeh_sipace,Diam supaya selamat sama saja deng ko diam ko aman 🤔
esau212022,Asik nih😁😁
washingtonjose__,😂
gos_rieuwpassa1,BERSINAR 🔥🔥🔥🔥🔥
a_r_m_y1122,"Cr pemimpin yg tau bikn kora cantik,jgn cr pemimpin yg bikin dompet cantik,mau kota cantik pilih elisa kambu nmr 3,mau pilih kota sorng jelek pilih arus😂😂😂😂"
isal_2223,kayak yakin menang saja 🤣 pak elisa kambu bos yg akan jadi gubernur PBD nanti
vincen_saa,😂😂😂😂😂😂
oliviatereysia,🔥🔥🔥
gabrielnj.epin,😂😂😂 jang pake emosi boleh
suriyana05_,Gaul yang selalu
lidahrakyat86,https://www.instagram.com/p/DBF6fIUTaaF/?igsh=MW10a3k4amkwYTkyeA==
qiovano,Maksuddddddnyaaaa ko ajak masarakattt utk tra pilih BS...supayaaa???????? Ko sapaaaa jadiii utk masarakat ikuti ko pu ajakaaaan tuh.....lgi lucu² nya opa satu iniiiii😂😂😂😂😂😂😂😂😂
derwinduwith,LJ. Ngambek 1kota sorong hujan😂😂😂
aronrahakbauw,Bersinar suda di utus lngsung oleh pusat. Jadi diam dan tenang
faliano.rhls,Semua harus ikut arus saja😂
juragancupang_99,"Sa mengerti apa yang di maksud BS tentang kalo tidak LJ  bisa ikut habis,karena kalo BS tra naik bisa jadi LJ dapa ciduk😂"
cia.8270,👏 👏👏hormat... BS bukan orng baru...persoalan politik tu...gurunya BS..
azazil670,BPK LJ pasti suara nya masuk k ARUS bawa aj
silvanymn,Komandan PANUTAN 😍🖐️💛
patrick.tamaela.77,@pipox3609 dari om cara komen nih om panik bs😂
