username,comments
samaria_korwam,"perasaan pertanyaan MRP kemarin itu, Mendesak Pimpinan Pusat Partai Politik wajib mencalonkan Orang Asli Papua dari Wilayah Adat masing-masing untuk jabatan Gubernur dan Wakil Gubernur, dan Orang Asli Papua dari Kabupaten/Kota terkait sebagai Calon Bupati/Wakil Bupati dan Calon Walikota/Wakil Walikota dalam Pemilihan Kepala Daerah Tahun 2024, kalau ko asli papua jangan minta validasi dari LMA' orang lihat marga saja dong tau, serius tanya UMLATI ini dari raja4 kampung mana? kalau dari papua jauh sx dari OAP 25% itu jauh sx yesus, darah shu tacampur  ko mau ngotot apa di KPU? bedah lagi putusan MRP yang, Keanggotaan DPRP dan DPRK melalui pemilihan umum setidak-tidaknya 80% OAP dan 20% Non OAP.  TOLONG baca kah anak"" yang punya orang tua ada ikut demo kam kasih, dong baca komentar ini 🤣🫣 ko pegang 500/1jt tapi ini bukan soal uang, soal bagaimana PBD besok maju atau tidak? di tangan yang tepat atau tidak?"
qdhorusto27,@samaria_korwam tp sudah🤣🙌
refael_jarfi03,@samaria_korwam top komen👏
rayjumame,@samaria_korwam terlalu top 🔥👏
rinjatosca,@samaria_korwam 😭😭🤣🤣🤣
retty_85,@samaria_korwam jelassssss..... 🤣
lidyamariniii,@samaria_korwam kasih paham manusia² haus dorang kaks
akut_maybratt,@samaria_korwam terbaik 👏🔥
dummiesotaku.chan,@samaria_korwam betulll skalii kaksss 🙏🔥
asyhmgfro_,"@samaria_korwam ini kalo belm jelass lagi, memang dong harus bljr UU siiihhh... biar jang cuman ikut ramee saja padahal nol besar🔥🤪
Kasiannn e..."
daungatal24,Lbh tepat maju di pilgub MALUKU.. Sesuai dgn bapa pu Garis Keturunan 🙏😁
kenneththio,@daungatal24 itu lagi..
skrn.95,@daungatal24 itu sdh
rudy_rev,@daungatal24 benar
victororay,Menyala sekali o @daungatal24
brandomichaelathabu,"@daungatal24  itu lagi ee,,mcm. TDK mengalah k..🙏🥱😬"
putra.rk_38,"@daungatal24 sesuai dengan bapa pu fam,itu yang benar 😁"
_acaa.21,tim baca komen😂
viedatsndimoay,@_acaa.21 hadir🤣
fonatabasilva30,orang lain ada berusaha supaya jadi tuan tanah di negeri sendiri🙌 lain berusaha demi nasi kotak dan amplop yang isi 100rb😢 menayala papua² ku🤣🤣
