username,comments
uji_mehra,Apa debat bisa menentukan kemenangan?
piooooo_03,Nomor urut 3 e teman' jangan lupa pilih 😍
innesleisubun,"Kepintaran dlm berbicara tdk menjamin dlm perdebatan Calon Gub & wakil Gub.. Intinya kita lebih melihat Jiwa kepemimpinan dari 5 calon yg akn tampil.. Serta melihat Jejak Rekam berkarir.. Berkarya yg tdk memiliki byk RAPOR MERAH.. Krn Pada akhirnya kita yg memilih berdasarkan  kwantitas akn kalah dgn kualitas.. Terus, mendukung pemimpin terbaik bagi prop. Termuda PAPUA BARAT DAYA .. TUHAN BERKATI 🙏😇❤"
bietrobert19,"Sa tdk tau bpk Kambu tpi, sa lihat video fb klo orang² asmat menangis bp dia waktu dia mo tinggalkan asmat. Siioo itu menjelaskan sx klo bapa de berhasil bangun Asmat dan berhasil ambil org² asmat pu hati.. Jadi sa percaya bp de akan bangun Provinsi bru ini menjadi lebih baik 🙏🙌🏽🤝🔥"
rayjumame,03 debatnya GACOR 🔥🔥🔥🔥
okkymocza,🔥🔥🔥
jeanette_jilly,✌️✌️✌️ Gaul.. Tuhan Yesus Berkati.. Bismillahirrahmanirrahim.. ❤️❤️❤️❤️
iintan_naa,Arus🔥
sayaangg120,3 🔥🔥🔥🔥
reinhard_raweyai,Semoga Kelima Kandidat Bisa memaparkan hal2 positif untuk kemajuan PBD kedepan. Salam Damai 🔥.
cndyychrlnaa__,03 ❤️🔥🔥
kevin_mbape,5 Bersinar🔥
rayjumame,KIRA KIRA 01 bicara apa ittuu ?😂
papeda_bungku5,orang yang mengembangkan tempat yang tak dianggap menjadi sorotan Dunia Asmat... No-3 bukti nyata
rayjumame,@kopukabar Admin sudah lihat debatnya kah? Kira kira penilaian admin untuk paslon 1 gimana tuh 😂
ron_sdbtr,Adu gagasan dan adu program kerja untuk Papua Barat Daya kedepannya 👏
innesleisubun,Maaf.. dari melihat Gambar/ Foto yg terpampang.. Sy cuma mo blg.. Inilah bedanya penampilan seorg yg memiliki jiwa menjadi PEJABAT & PEMIMPIN.. lihat baik2.. Kesederhanaan.. Naturalisme &  Merakyat... Kita bisa lihat sdri  mana yg hadir di prop PAPUA BARAT DAYA  datng sebaga Tuan & Hamba.. Yg artinya Datang siap melayani atau mau di layani.. Org Cerdas pst milih yg Sederhana bukan sempurna 🙏👍🌈🌈
esther_lumbantoruan_hutagugur,03 pak Elisa kambu🔥🔥🔥❤️😍
alimuddinandre,03🔥
michaelsolossa,ELKAM🔥
rezamagri,Afu gak ada wajah papua oi
mizztura_2gd,03 🔥
bams.renwarin,"Elisa kambu , main habiss 🔥🔥"
yohan_kabes,🖐
andariassss64,Orang yang sederhana ada no 3
kevin_mbape,"Elektabilitas akan sangat naik dalam debat ini, jadi memang harus di maksimalkan Dari ke 5 Kandidat, Semuanya Baik untuk PBD, Tapi Lebih Baik lagi kalau yang Memimpin Asli Putra Dari Papua."
mhammd.ezra_,Pace septianus lobat mana🗿
sengkuny609,🔥🔥🔥
alam310385,"Org hebat semua nih, pasti seru ...manyalaa 🔥🔥🔥"
saidabdullah801,Semoga ide dan gagasan yg di paparkan oleh para kandidat yg kelak akan terpilih tolong kerja kan kam pu visi misi it jang kam pura2 amnesia nyee nnti Tuhan kutuk klau kam lupa.. 😂👏
inakocu,🤟🏻🔥
aku_di_mana,Menyala No.1
rafywanma22,"Ini yg sa tunggu"" bisa"" lain darah tinggi langsung bakalai 😂😂"
luckygarisi,🖐
minionns234,H
israael_xx,Malas liht yg pintr bicara tapi eksekusi di lapangan 0 bulat Petir Sambar🫢
fandyrahmatamran,ARUS 01
bleskadit__gibe,03 terbaik 🔥
suslin_howay,Yang sederhana saja O3 ESA🔥
