username,comments
storysorongku,Elisa Kambu S.Sos ☝🏿
_lisarecos,01 PBD🥹🙌🏻❤️‍🔥
storysorongku,01 PBD 🫵🖤
yudha_paprindey,Terlalu ❤️ Bapa skali.... Asmat yg tertinggal skrg Maju Pesat.. Rawa Lolaro saja de bangun rmh batu berdiri diatas aplagi Tanah Sorong Raya Itu.. Tuhan Yesus Berkati Bapa Selalu❤️😇🙏
pace_honai,Bpk Elisa kambu memang pemimpin yang terbaik 👍👍👍Tuhan pasti berkati bpk senantiasa 🙏🙏
ghe_gabrielaa,"Ahgg sayang, sa nnton dri awal sampe akhir air mata mengalir terus🥹. Papua butuh sosok pemimpin seperti beliau🙏."
emzongway,"Cinta itu Kasihh sygg ituu, yg orangg Ingat Bru Menangis Bapa 😢"
cndyychrlnaa__,Ini adalah salah satu pemimpin yg mencintai rakyat dgn sepenuh hati🙌❤️‍🔥😇
secilllhwy,01 PBD🫰🏼❤️
oman_sahulata,ELKAM 🔥
desyana_syam_suwae_apaseray,❤️❤️❤️
darwin_lotulung,❤️❤️❤️
story_anak_jalanan,🙌❤️
sharonnowa18,🥹✨🤍
weynand.christovanly,❤️❤️❤️
shereen.06,🤟🏻♥️
kambu____fhiyy,❤️❤️
asmuruf_brando31,Otw 01 PBD 🙌🔥
_docbert_,Ini baru kebanggaan negri 💪🫵🤝
allyynna._,TUHAN Yesus memberkati bapa 😍 Bapa Menang 💐🕊️
elfannhowayyy,❤️
yudha_paprindey,Idola ❤️ Bapa Tuhan Yesus Buka Jalan Bapa Gub. PBD
noell.sentuf,❤️❤️
emzongway,❤️
srry____12,Orang baik.. Tuhan yesus berkati 💗😇
berto_atanay,Terbaik 01 PBD 🔥
dance_duwit20,"Salah satunya bukti nyata sosok pemimpin yang bukan hanya ada untuk kebutuhan masyarakat tapi ada juga di hati masyarakat, gas 01 PBD 😇🙏🏽"
merarikowon,The best😢😢
apicem.rafiza,Sentuhan Pemimpin yang menyentuh❤️
nesta_2303,🙌❤️
berto_kzme,❤️❤️😢😢
ito_chilco,❤️❤️
pace_kambu27,Tuhan Yesus Memberkati Bapak Elkam. 🙏
nitasari5506,❤️❤️❤️
thesia_18,Syg ah ❤️❤️😢
safkoms,Kita kawal BP sampai ddk di kursih gubernur PBD.tuhan Yesus sertai langkah2 BP.elisa Kambu 😢
alfonsinaruatakurei,❤️
soniasraun,"Akut msh yg terbaik,,,,😇😇"
gusti_hele,Gas
sejarahpapua1,"Dari semua cagub di Papua sa pikir pace dia ini yg ketika selesai masa jabatan di menangisi oleh rakyat yg di pimpin ,luar biasa pemimpin yg punya jiwa seperti pak Lukas Enembe"
fallen_naa,Kaka Besar Terbaik❤️🔥👏
moiruatakurey,Tuhan tuntun 🙌🏽😇
ayomiyenilita,Terbaik🥹😇
headstonebob,❤️😢🔥
iccanksuhersan7,11 11 deng Bpk Gabriel Asem juga membangun Tambrauw
lamun85,Terbaik
_bertholemauk,01 PBD 😇🫵
its_boesald,panutaaan
rh_28_2006,👏👏👏👏Tuhan Yesus Berkati
acis_thesia,😢😇
_______bakitt_niwexx03,Orangg plingg baikk sepanjang masa ❤️🙌
devid___saa,Kam semua harus pilih elkam fix👌🏾☝️
iriyanto.maail,👏👏👏👏🔥🔥
sayaichad__,ELKAM❤️
yoyo014211,"Tidak banyak kepala daerah turun diantar dengan air mata, tapi ini beda ❤️"
sengkuny609,Bapa terbaik tuhan tuntun sampai kursi 01 Pbd🙌❤️
noell.sentuf,orang baikkk selalu mendapatkan tempat yang baik di hati semua orang❤️🥺
rollyan_delima,Terbaik 👏🙌
evan_gemnafle,Beliau di Juluki Jokowinya Papua 🙌
21.annakambu,❤️❤️❤️
syaloomitha._,🫶🏻🫶🏻
skrn.95,01 PBD ❤️😇🙏
ritharumanasen,01 PBD 🔥❤️😇
mairlant_kingston,🔥🔥🙌
moyo_r_sqat,🤟🤘❤️
ferry_murafer,01 PBD😇
neka__maban,Terbaik❤️
uther_muzik,Tete Kambu yang andalan 🔥🔥❤️
diqtyaemerik03,😢😢😢😢😢😢😢😢😢😢😢 sioo bapa eee  bapa pantas jadi pemimpin kami papua barat day🥰🥰🥰😭😭😭😭
martires_holistira,❤️❤️
juragan_lapto,orang maybrat terbaik sekali
alfia_mentsansan,Terbaik skli 😢😇🙏
bap_jj15,Bapa dormom❤️🔥
bap_jj15,Warga PBD bungKUS... 03
maria_rumadas,Tuhan percayakan mulai dari yg kecil. Tuhan senang dgn hasil'nya Tuhan kasih kepercayaan yg lebih besar  lagi. 😌 Kira-kira seperti begitu.
gloriansk_19,😍😍😍
mace_sueny,TUHAN YESUS BERKATI BAPAK DAN KELUARGA SELALU 😇🙏❤
