username,comments
whitneylutriciaaa_,❤️
reinaldo_item,"Asmat dulu rawa , skrg sudah maju👏"
cak_nur21,saya dukung ko pace...
rivaldohnk,❤️❤️❤️
aviel_gea,😍😍😍😍😍😍
yammylisapaly,"Pesan dosen sy.. Kalian itu hrs jd org yg klu mau pergi ditangisi, jngn jd orng yg ditertawakan saat pergi. Hal ini trjd Pa Bpk Elisa Kambu.. Kami tunggu Bpk di PBD🔥🔥"
i.m.venezzuell,❤️
sagrimwilso,Pemimpin yg datang dengan hati untuk bangunan Tanah Papua....Tuhan Berkati Bapak Elisa Kambu
donnymarcotimothy,"Tuhan Yesus memberkati bpk tokoh pembangunan,,, Selalu dihati masyarakat,,,,❤️3"
hain_jr_,Terbaik bapak Elisa kambu semoga menjadi gubernur papua barat daya 🤟😍😇
ytatontos,"Pemimpin terbaik,, Tuhan sertai dan memberkati BP selalu 🙏🥰"
ucesangkek__,Tekam❤️
nyongker_1000,🔥
kovanauw,🤍🤍🤍🤍🤍🤍
jhe_wrc,😢👏👏
dedylalaar,❤️ sah
frifidia_solossa,"Luar biasa bapak, pemimpin yang bekerja dengan hati untuk tanah dan negeri ini"
chayseanx,❤️👏
m4rl1n49or4_,Menuju 01 PBD 🔥❤️👏
bram0915,"Wah ini pejabat yg andalan. Pada tidk pilih dia sungguh disayangkan. ASN dan jajaran serta masyarakat tangisi beliau seperti itu, berarti hal bik yg dia ksi tinggal untuk Asmat. ❤️"
netalokden,Dalam Nama Yesus 01 PBD🔥.Amin 🙏
viandworang,😇😇😇 maju bapa GOD Bless 😇😇😇😇
nency200589,❤️
alberthtahalele,"Yg penting Jang pilih yang sudah terbukti kosupsi, 😂"
samuelsauwyar,Tuhan yesus memberkati.. Bapa.
matanubunsabiji,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
risafacillo,Paling terbaik👏😇❤️
pong_arkha,Menuju 01 PBD. 👏👏👏
pong_arkha,Elisa Kambu untuk PBD🔥🔥🔥
supusepa_vicran,"Sa pu suara buat bapa!!!, sa tau bapa  pu baik, bapa pu kinerja buat asmat🔥🔥😇"
joyselinauw_,❤️❤️❤️
sisiliatamaka,Sorong harus pilih org ini utk jdi gubernur papua Barat Daya
hasrul.hafid,Sehat selalu pak Elisa kambu S.Sos...
