username,comments
sorongtop_real,Terimakasih anamuda telah mengharumkan provinsi Papua barat daya 👏
rjeshmnrung_,🔥🔥🔥
enrique_patty06,Terbaik monce🔥🫡🙏🏻
minyak_lintah_papua_jhofan,👏terbaik
koni_papuabaratdaya,🔥🔥🔥
shikab7,Selamat ade Moses untuk juara 3 dari Cabor Judo.
mylaniprscla,Akom jelasssh @_mosesm__ 🫵🏼🤩
stefan_batlaiyeri,Yoi ank kmpung baru tee👍
just.diian,Kelasss 🔥
luismnhry_,brother terbaikk mengudara teruss @_mosesm__ 🔥
cliftitapasanea_,pulang sorong blade angkat ban @_mosesm__ 🔥
tweentyyninee,Hayabusa pu didikan @_mosesm__
gracio_siwabessy113,@tweentyyninee ko stop yo
supersonix3,Mantap 👍👍🙏
mirinoevra00,🔥🔥selamat adik
firayahfira,🔥
_3ndimatakupan,Didikan edo ne @_mosesm__ 😢
ichaaaa__777,Manyalaaaa @_mosesm__ 😍🔥
jajan_murajang,Ini bole
ethockpurnomoaji,Terbaik nyong gagah
gntarzna_,Teman ko terbaik👊👊👊
fiaaaa29,@_mosesm__ gacor🔥
mr.rkoropasi,Mantap 👏🔥
edyalova,👏👏🔥
chc0cheese_,proud of you 👏🔥
nikiirnn,Menyalaaa adikkk🔥🔥🔥🔥
lyboss_,Manyalaa… andalan skali td d arena tanding🔥🔥
karaka_gepe,Menyala dix.. 🔥🔥
supirpapua,Congrats terbaiklah🎉🎊
angl_jere_1821,Terbaik ade 🔥🔥
putra_____26,Terbaik aslii 🔥🔥
enputtileihalat,🔥🔥🔥
herry_brayen,🔥
ritaita28,Terbaikk👏👏
ay.bless16,🔥👏😍
rellunto._695,Kk pu Ade gaul
fbak911,p o u🔥👏🏾
ar_store_sorong,Kelas 🔥🔥🔥
akon_sntf,bru mozes yg ini medali apa @_prvdy 🤣
mcsmds,🔥🔥
ompay_yarangga,Top bro 🔥🔥🔥👏
si_pecinta_lagu_timur,🔥🔥🔥❤️🔥❤️🔥❤️🔥manyalaaaa abangku
stevedsaxman,🔥🔥🔥
cutfaida69,👏👏👏👏👏👏😍😍
philp3754,❤️👏🙌
indahumpain_,congrats🔥
aldrintpmhu,Terbaik bos @_mosesm__ 👏
_ambaiigirll,@_mosesm__ talaluu gagahh memangg tamangg🔥
gracedimara08_,Top skli moses👏👏
immanuel27_,ADKOM MENYALA🔥
