username,comments
kopukabar,"“Komitmen kami kepada pasangan ini terbukti dengan hadirnya kepala tungku dari 22 kabupaten dan kota yang ada di NTT di kediaman saya hari ini. Kehadiran mereka saat ini jelas untuk menyatakan sikap dan dukungan kepada pasangan Septinus Lobat dan Anshar Karim,” kata Martinus.

Ditambahkan Martinus, setelah kegiatan hari ini ketua-ketua tungku tadi akan kembali ke keluarga dan sub-sub kerukunan IKF tadi untuk menyampaikan komitmen kita kepada pasangan LOSARI."
takdirrasyidrasyid,Kami hidup di tanah MOI kami bekerja mencari nafkah buat anak istri dan menemukan jodoh di tanah MOI sudah saatnya kami membalas semuanya kepada tanah MOI dengan memilih putra MOI
gracewallykomber08,@takdirrasyidrasyid pemikiran yang sangat menghargai 🔥🔥🙏🏼
rina__berta,"tanah dijual kya sayur kangkung dipasar remu, harga diri dijual kaya murahan baru mau bicara kota sorong kah???? mau sampai kapan pun orang Maybrat diatas dan akan tetap pimpin kamu"
___mrsglo,@rina__berta 😂🤣 andai suku MOI tdk jual  dog pu tanah tdk ijinkan suku  dri luar berkembang di dong puu daerahh smpai akhirnya skrg dijadikan ibu kota provinsi para penikmat smua rakuss kekuasaan smpe lupa tuan rmh jg pnya HAK 🤣 mngkin skrg sorong tdk pnya apa apa 😂 kita yg org papua tp bkn asli dri tanah MOI sbnrnya tdk harus beropini buruk seharusnya berterimakasih krn dari tanah ini bnyak org dri kab lain hidup di sini berkarir di sni jdi org org hebat trus mau balik hina yg pnya tempat 🤣 di pkir pake logika yg sehat” aja yukkkkkkkkk ……
gracewallykomber08,@___mrsglo terbaik 😍🔥
rina__berta,"@___mrsglo sekarang begini bru ko pakai andai kata dll... makan ko punya andai"" itu dan sampai kapan pun orang Maybrat yg akan pimpin Kota Sorong & PBD"
___mrsglo,@rina__berta sa bicra sesuai FAKTA yg trjdi.  ko ini nyasar dri mn msuk komentar di snii ?? Koo hausss apa ?? Masih sama sama hidup di bawah kolong langit yg sm org yg ambisi akan jatuh bukan di atas tanah lg tpi di dlm tanah.
rina__berta,@___mrsglo Kenyataan orang moi sdh jual tanah habis trus kamu jual harga diri lagi baru kamu mau bicara harga diri????? 🤣🤣🤣🤣
___mrsglo,@rina__berta dong jual tanah bru dog pu daerah berkembang skrg bisa jdi provinsi tdk ketinggalan sprti kab lain yg smua mau cri mkn di sni bru kabupaten tdk berkembang apa apa 🤣😂 soal hrg diri ko mau komntar lngsung ke oknum ybs jgn msuk komntar di postingan ini sprti org tdk sekolah.
rina__berta,"@___mrsglo dlu kalau kamu yg pimpin kota/kab sorong pikir akan berkembang seperti sekarang k? jual tanah kiri kanan ke Non OAP kaya sayur dipasar sampai"" hampir tanah sdh habis"
___mrsglo,"@rina__berta koo pnya hak apa bicra dorang ?? Dog mau jual tanah dog pnya HAK , Org tua SUKU maybrat dlu bkn brng bagus utk kamu generasi ini nikmati trus kam yg generasi bru lhir ini mau pukul dada HINA siapa ?? Dorang dlu tdk tau baku HINA mcm kamu ini , mksdnya kenapa kalo ORG MOI jg mau maju 01 Kota ?? Negara ini kam yg punya ??"
rina__berta,@___mrsglo kasih ingat kamu spya sadar
___mrsglo,Mantuuulllllllll 🔥🔥🔥🔥🔥🔥
albarmuges_,kopukabar berubah menjadi akun admin politisi 😁
ambran_zainuddin_simanjuntak,@albarmuges_ kopukabar juga pasti tahu siapa yang akan menang dalam pemilihan walikota  sorong😂😂😂
jessicatous21,🔥🔥🔥🔥
pace_atta14,NEWILIK❤️🔥
kelvin_momotsfabra,🔥🔥
bosko_maro,🔥🔥
thaufik10315,Wajib di dukung ini kita punya tuan tanah.
losarimenang,Gasss🔥
_marufatta__,tuan rumah yang tidak bisa perbaiki rumahnya sendiri
miserighetto17__,@_marufatta__ why? 😅
vinsfrans9,@_marufatta__ daripada yg bukan tuan rumah tp dtg cma ksi rusak
kgifelem,"@_marufatta__ tamu tinggal 10 Tahun.. pas keluar dari rmh, rmh sdh rusak Parah...tuan rmh dtng mau perbaiki kasi bagus..tuan rmh butuh waktu lagi bukan 1 3 hari sja..😅✌️"
vbeatrix.osok,@_marufatta__ masa ee
elisabethmalabelen96,"@_marufatta__ Ko Sebgai apa jdi, manusia Hama Rakus yg tdk Diri dtng makn kerja D Org Puw Tanah tpi Makan Puji tai anjing, ko stop ee, stop Lancang, Yg Dtng Baku Tong Ouw Rmh Tdk Sesuai Dgn apa yg Tong maw n Tong jga Bisa Bgun Tong Pnya rmh Cuma, Kami Org Moi pnya ego yg trllu Tngi, jdi Klw bcr Tuw Sadar diri manusia Hama😂😂😡😡"
andiasri813,Losari
ryan_wiliam15,Yg dari kampung lain sebaiknya mundur sudah kam pi membangung kam kamoung sana. 😂😂
memo_kvent,Kaka SLANK
833s_quad,Losari 🔥
si_pecinta_lagu_timur,🔥❤️🔥❤️❤️🔥❤️🔥❤️
kayzaro_preciosa,Menyala 🔥🔥🔥
maverick.blesskadith,"@kopukabar admin up berita itu dari calon walkot lain lagi, agar masyarakat bisa melihat dan mengerti pemimpin mana yang cocok untuk memimpin kota sorong. ini mcm cuma satu calon ini saja.. mau bicara tapi. Ah sudah lah 😂"
feroiek,🔥👏
leonardosamallo,"Siapapun yg terpilih nanti,semoga bawah kota sorong beserta rakyat di dlm kota sorong ini menjadi lebih baik lagi."
morinrenny,Sya jga sngat mendukung bapak walikota s.lobat
morinrenny,Hiduuuuuuup bpa walikota Sorong bpa s .lobat
