username,comments
joedywnn,"Sudah,stop bapaksa k.. ko mencalonkan diri di ternate tahun 2017,ko bilang ko orang sana.. sekarang ko mencalonkan diri di sorong,ko mo paksa harus diakui sebagai orang papua demi"
sonny.rmltr,"@joedywnn Iyo e😂😂😂 calon di ternate bilang OAT orang asli ternate, calo di PBD bilang OAP, nt calon SULUT bilang OAM Orang Asli Manado, ancooorrr eeee, kayak bunglon sj😂😂😂😂😂😂😂😂"
joedywnn,@sonny.rmltr 😂😂😂
crf_063,@joedywnn urus raja Ampat saja tra becus
novalia_enus,"Sudah Hasil Akhir ini, kasih dulu Orang Maybrat yang Pimpin PBD, krn dong su berjuang sampe PBD ada,, yang lain Tahan dlu to.. 😂"
t.papuaid,"Kalau bicara orang maybrat yg berjuang PBD ya pace lambert dia, yang lain cuma numpang tenar saja."
de_floren8,"@t.papuaidFYI, PBD ini sdh di perjuangkan selama kurleb 17 tahun bukan baru, om Lambert juga tetapi ada banyak org Maybrat juga bberjuang, bukan 1 orang saja"
t.papuaid,"@de_floren8 ssttt, FYI perjuangan PBD yang sodara ko bilang 17 tahun itu barang jalan di tempat, lain mundur, lain pesimis, ujung2nya barang tra jadi dan putus bgt saja. Sa ni bukan pace pu pendukung, tapi kalau mo bicara jujur dan adil, memang pace L yg kasi jalan barang, usaha akan sampe jadi, baru lain yang dulu sy menyerah datang mengaku inilah itulah, perintislah dan segala macam. Itu bahasa kosong saja ya, buktinya 5 tahun belakang selama pace L kasi jalan barang itu, dong yg mengaku perintis, mengaku berjasa, itu dong tra pernah muncul sama skali. Jadi jgn mudah dapa tipu dari mulut2 yg omongkosong keras itu."
de_floren8,"@t.papuaid benar saudara tapi kita tidak boleh lupakan orang terdahulu yg sudah meninggal saya punya tete DIK ASMURUF, SEKDA Jayapura dgn kawan"" Itu deklarator pertama, banyak org punya harta benda juga habis""an, jadi bukan 1/2 org saja,"
de_floren8,"@t.papuaid tidak dengar dari mulut ke mulut saya punya tete itu pelaku, Om Lambert juga saya punya om dan saya tahu itu, ada om Yosafat kambu dkk. Juga,"
t.papuaid,"@de_floren8 tong tidak lupakan orang2 yg menjad deklarator. Yg sa maksud disini adalah orang-orang yg kemarin baribut mengaku diri sebagai ini dan itu di PBD ini, itu saja. Dan sepakat, kalau mau bicara tentang tokoh yg berjuang keras 5 tahun kebelakang untuk PBD, adalah pace L dia."
wihelminatrice21,😂😂😂😂😂
saflembolo05,"😂 Dapat bayar berapa biar di endorse,, HARGA DIRI 🙅🏾 JUALAN HOAX ✅ awas uang hasil hasut menghasut akan jadi kutuk untuk Kam pu keluarga yg menikmati 😇"
eric_sean_17,"Biar  ko mm moi asli,tapi klo ko marga ikut ko BP yg pendatang??? Yahh jelas ko non oap 😂🤣🤣"
mes_bobot,"Prempuan papua model yang tidak punya moralitas dirii bkin malu,,pantas jadi budak buat orang berduit"
zander_galang,@mes_bobot 👍👍👍
sihu.bleskadit_,"Mc mata uang itu dia ada dimana"" yaa😂😂"
emon01728,Dapat uang sampe blg melahirkan Pace AFU😂😂😂 sangat aneh Skali ohh jgn jual hak dan martabat orang asli Papua demi kamu pu keuntungan pribadi hahihahaaha lucu
ludhyathamara,TDK tau mengerti adat itu jangan pake pakaian adat lucu udik BKN malu ehk cangkokan 😂😂
michaelsolossa,😂😂😂
itsmerachl22,Kam paksa barang apa eee...😂😂😂
sonny.rmltr,"Namanya juga ikut ARUS, jd marga itu bisa dimana saja tergantung ARUS mo bawa kemana, bisa jadi ternate.... Bisa jd OAP... Mungkin bs jg ambon.... Atau manado, tergantung ARUS mk bw kemana😂"
ryani.setiawt,Wkwk arus arus kocakkk
si_pecinta_lagu_timur,Ahhh sa dukung sa pu kaka laki laki Gabriel asem saja../ heheheh
ungke_karl15,"Sa ni heran deng orang papua... Kam dpa bayar cm 100rb? Kam tra pikir bahwa tanah ini su terlalu banyak dpa tipu... OAP ADALAH ORANG YANG RAMBUT KERITING, KULIT HITAM. SELAIN DARI ITU BUKAN OAP. Mengerti OAP TO? ORANG ASLI PAPUA. BUKAN PERANAKAN KAH KETURUNAN KAH INI"
ungke_karl15,"@ungke_karl15 bagus dong klo MRP tidak setuju... Krna mereka tau mana yang jelas"" OAP"
sonny.rmltr,Tdk usah dipaksakan menjadi OAP kalo bukan OAP😂😂😂
joedywnn,"Sudah,stop bapaksa k.. ko mencalonkan diri di ternate tahun 2017,ko bilang ko orang sana.. sekarang ko mencalonkan diri di sorong,ko mo paksa harus diakui sebagai orang papua demi"
sonny.rmltr,"@joedywnn Iyo e😂😂😂 calon di ternate bilang OAT orang asli ternate, calo di PBD bilang OAP, nt calon SULUT bilang OAM Orang Asli Manado, ancooorrr eeee, kayak bunglon sj😂😂😂😂😂😂😂😂"
joedywnn,@sonny.rmltr 😂😂😂
crf_063,@joedywnn urus raja Ampat saja tra becus
novalia_enus,"Sudah Hasil Akhir ini, kasih dulu Orang Maybrat yang Pimpin PBD, krn dong su berjuang sampe PBD ada,, yang lain Tahan dlu to.. 😂"
t.papuaid,"Kalau bicara orang maybrat yg berjuang PBD ya pace lambert dia, yang lain cuma numpang tenar saja."
de_floren8,"@t.papuaidFYI, PBD ini sdh di perjuangkan selama kurleb 17 tahun bukan baru, om Lambert juga tetapi ada banyak org Maybrat juga bberjuang, bukan 1 orang saja"
t.papuaid,"@de_floren8 ssttt, FYI perjuangan PBD yang sodara ko bilang 17 tahun itu barang jalan di tempat, lain mundur, lain pesimis, ujung2nya barang tra jadi dan putus bgt saja. Sa ni bukan pace pu pendukung, tapi kalau mo bicara jujur dan adil, memang pace L yg kasi jalan barang, usaha akan sampe jadi, baru lain yang dulu sy menyerah datang mengaku inilah itulah, perintislah dan segala macam. Itu bahasa kosong saja ya, buktinya 5 tahun belakang selama pace L kasi jalan barang itu, dong yg mengaku perintis, mengaku berjasa, itu dong tra pernah muncul sama skali. Jadi jgn mudah dapa tipu dari mulut2 yg omongkosong keras itu."
de_floren8,"@t.papuaid benar saudara tapi kita tidak boleh lupakan orang terdahulu yg sudah meninggal saya punya tete DIK ASMURUF, SEKDA Jayapura dgn kawan"" Itu deklarator pertama, banyak org punya harta benda juga habis""an, jadi bukan 1/2 org saja,"
de_floren8,"@t.papuaid tidak dengar dari mulut ke mulut saya punya tete itu pelaku, Om Lambert juga saya punya om dan saya tahu itu, ada om Yosafat kambu dkk. Juga,"
t.papuaid,"@de_floren8 tong tidak lupakan orang2 yg menjad deklarator. Yg sa maksud disini adalah orang-orang yg kemarin baribut mengaku diri sebagai ini dan itu di PBD ini, itu saja. Dan sepakat, kalau mau bicara tentang tokoh yg berjuang keras 5 tahun kebelakang untuk PBD, adalah pace L dia."
wihelminatrice21,😂😂😂😂😂
saflembolo05,"😂 Dapat bayar berapa biar di endorse,, HARGA DIRI 🙅🏾 JUALAN HOAX ✅ awas uang hasil hasut menghasut akan jadi kutuk untuk Kam pu keluarga yg menikmati 😇"
